query,title,label
backend development tutorial,Top Backend Frameworks 2025,1
web development trends 2025,Top Web Development Trends 2025,1
learn python,Python Projects You Should Try in 2025,1
javascript tips and tricks,Top 10 JavaScript Tips,1
AI in education,Standup Comedy by Rahul,0
javascript tips and tricks,Advanced JS Concepts Explained,1
react vs angular,Cute Cat Compilation,0
AI in education,How Schools Are Using Artificial Intelligence,1
machine learning projects,Beginner-Friendly Machine Learning Projects,1
react vs angular,React vs Angular - Which to Learn?,1
learn python,K-Pop Music Video,0
javascript tips and tricks,Cute Cat Compilation,0
flutter vs react native,Cute Cat Compilation,0
machine learning projects,Cooking Butter Chicken at Home,0
backend development tutorial,Cute Cat Compilation,0
flutter vs react native,Cricket Match Highlights,0
mobile app ideas,Profitable Mobile App Ideas in 2025,1
mobile app ideas,Cute Cat Compilation,0
javascript tips and tricks,Advanced JS Concepts Explained,1
frontend developer roadmap,Frontend Developer Roadmap 2025,1
mobile app ideas,Web vs Mobile - Which to Choose,1
javascript tips and tricks,How to Write Cleaner JS Code,1
mobile app ideas,Top 10 TikTok Dances,0
frontend developer roadmap,Frontend Developer Roadmap 2025,1
javascript tips and tricks,How to Write Cleaner JS Code,1
web development trends 2025,Live Concert by Arijit Singh,0
javascript tips and tricks,JavaScript Performance Optimization,1
AI in education,How Schools Are Using Artificial Intelligence,1
backend development tutorial,Backend Development Tutorial for Beginners,1
react vs angular,K-Pop Music Video,0
mobile app ideas,Simple App Ideas for Students,1
javascript tips and tricks,Luxury Cars of 2025,0
react vs angular,React vs Angular: 2025 Update,1
backend development tutorial,Try Not To Laugh Challenge,0
backend development tutorial,Live Concert by Arijit Singh,0
web development trends 2025,Try Not To Laugh Challenge,0
flutter vs react native,Luxury Cars of 2025,0
flutter vs react native,Flutter vs React Native - Full Comparison,1
flutter vs react native,Cricket Match Highlights,0
backend development tutorial,Node.js Crash Course,1
react vs angular,Cooking Butter Chicken at Home,0
javascript tips and tricks,Cooking Butter Chicken at Home,0
react vs angular,Why React is Still Relevant,1
learn python,10 Common Python Mistakes,1
react vs angular,Pros and Cons of React and Angular,1
web development trends 2025,React 19: What's New in 2025,1
machine learning projects,Beginner-Friendly Machine Learning Projects,1
flutter vs react native,Luxury Cars of 2025,0
flutter vs react native,React Native vs Flutter: Performance,1
mobile app ideas,K-Pop Music Video,0
javascript tips and tricks,How to Write Cleaner JS Code,1
machine learning projects,"Mr Beast’s $1,000,000 Challenge",0
backend development tutorial,Backend Development Tutorial for Beginners,1
backend development tutorial,Try Not To Laugh Challenge,0
machine learning projects,Cricket Match Highlights,0
javascript tips and tricks,K-Pop Music Video,0
react vs angular,Try Not To Laugh Challenge,0
frontend developer roadmap,Important Frontend Tools in 2025,1
javascript tips and tricks,Luxury Cars of 2025,0
web development trends 2025,Top 10 Web Dev Skills for 2025,1
web development trends 2025,Modern Frontend Frameworks Compared,1
learn python,10 Common Python Mistakes,1
web development trends 2025,K-Pop Music Video,0
frontend developer roadmap,Standup Comedy by Rahul,0
frontend developer roadmap,Cooking Butter Chicken at Home,0
mobile app ideas,Simple App Ideas for Students,1
backend development tutorial,Node.js Crash Course,1
web development trends 2025,Top 10 TikTok Dances,0
AI in education,Cricket Match Highlights,0
AI in education,How AI is Transforming Education,1
web development trends 2025,K-Pop Music Video,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
machine learning projects,Top 10 Machine Learning Projects,1
